[2024-10-21 14:04:14,882] Detonation at iteration 972
[2024-10-21 14:04:38,455] Detonation at iteration 2521
[2024-10-21 14:04:52,752] Detonation at iteration 3522
[2024-10-21 14:05:07,967] Detonation at iteration 4534
[2024-10-21 14:59:43,187] Order 2 not found in orders_df.
[2024-10-21 14:59:43,188] Order 11 not found in orders_df.
[2024-10-21 14:59:43,188] Order 5 not found in orders_df.
[2024-10-21 14:59:43,188] Order 8 not found in orders_df.
[2024-10-21 14:59:43,188] Order 14 not found in orders_df.
[2024-10-21 14:59:43,188] Order 17 not found in orders_df.
[2024-10-21 14:59:43,188] Order 20 not found in orders_df.
[2024-10-21 14:59:43,188] Order 26 not found in orders_df.
[2024-10-21 14:59:43,188] Order 29 not found in orders_df.
[2024-10-21 14:59:43,189] Order 24 not found in orders_df.
[2024-10-21 14:59:43,189] Order 1 not found in orders_df.
[2024-10-21 14:59:43,189] Order 7 not found in orders_df.
[2024-10-21 14:59:43,189] Order 10 not found in orders_df.
[2024-10-21 14:59:43,189] Order 13 not found in orders_df.
[2024-10-21 14:59:43,189] Order 22 not found in orders_df.
[2024-10-21 14:59:43,189] Order 25 not found in orders_df.
[2024-10-21 14:59:43,189] Order 28 not found in orders_df.
[2024-10-21 14:59:43,189] Order 27 not found in orders_df.
[2024-10-21 14:59:43,189] Order 15 not found in orders_df.
[2024-10-21 14:59:43,189] Order 21 not found in orders_df.
[2024-10-21 14:59:43,189] Order 3 not found in orders_df.
[2024-10-21 14:59:43,189] Order 4 not found in orders_df.
[2024-10-21 14:59:43,189] Order 6 not found in orders_df.
[2024-10-21 14:59:43,189] Order 9 not found in orders_df.
[2024-10-21 14:59:43,189] Order 16 not found in orders_df.
[2024-10-21 14:59:43,189] Order 19 not found in orders_df.
[2024-10-21 14:59:43,189] Order 23 not found in orders_df.
[2024-10-21 14:59:43,189] Order 12 not found in orders_df.
[2024-10-21 14:59:43,189] Order 18 not found in orders_df.
[2024-10-21 14:59:43,189] Order 30 not found in orders_df.
